ID,Sex,Age,AgeGroup,EthnicGroup,Education,SES,DeprivationIndex,Victim,confpolice,antisoc
135230170.0,Male,45.0,4,White,University,2.0,3.0,0.0,-2.2905059085952195,-3.42
135230210.0,Male,28.0,2,White,University,1.0,4.0,0.0,0.3491976504660765,0.52
135231010.0,Female,58.0,5,Black or Black British,99,5.0,2.0,0.0,-0.3817971812739746,-2.27
135231210.0,Male,70.0,6,Asian or Asian British,GCSE,3.0,4.0,0.0,99.0,99.0
135233210.0,Female,64.0,5,White,Other,5.0,5.0,0.0,0.613168006372206,-0.84
135235130.0,Female,84.0,7,White,99,1.0,5.0,0.0,0.3593503564624661,1.22
135237250.0,Male,84.0,7,White,99,4.0,4.0,0.0,0.1055327065527261,99.0
135238290.0,Female,34.0,2,Asian or Asian British,99,6.0,2.0,0.0,0.3593503564624661,-0.53
135239250.0,Female,47.0,4,White,ALevel,2.0,2.0,1.0,0.613168006372206,99.0
135241130.0,Female,50.0,4,White,University,1.0,3.0,0.0,0.3593503564624661,1.22
135241210.0,Male,21.0,1,White,University,1.0,4.0,0.0,-0.0975214133750658,-0.75
135244010.0,Male,36.0,3,Chinese or other,University,1.0,4.0,0.0,-0.5848513012017668,-1.22
135249210.0,Female,28.0,2,White,University,1.0,5.0,1.0,0.613168006372206,-2.93
135250130.0,Female,33.0,2,White,University,1.0,5.0,0.0,-0.0873687073786762,0.5
135252250.0,Male,30.0,2,White,University,1.0,4.0,0.0,-0.3817971812739746,1.22
135253010.0,Female,55.0,5,White,ALevel,5.0,3.0,0.0,-1.0518757770356884,99.0
135253050.0,Male,44.0,3,White,ALevel,4.0,3.0,0.0,0.1156854125491157,-0.26
135254050.0,Male,31.0,2,White,University,1.0,4.0,1.0,0.3593503564624661,0.7
135254090.0,Female,32.0,2,White,University,5.0,3.0,0.0,-1.062028483032078,0.3
135255050.0,Female,53.0,4,White,ALevel,1.0,5.0,0.0,0.3593503564624661,0.41
135255130.0,Female,33.0,2,White,GCSE,4.0,4.0,0.0,1.3340101321158675,-1.41
135255290.0,Female,64.0,5,White,University,1.0,3.0,0.0,99.0,-0.2
135258170.0,Female,32.0,2,White,University,1.0,1.0,0.0,-1.975772022707142,0.27
135260210.0,Female,48.0,4,White,University,1.0,4.0,0.0,-0.3107282392992475,0.43
135263170.0,Female,64.0,5,White,University,2.0,1.0,0.0,0.866985656281946,0.75
135267050.0,Female,54.0,4,White,GCSE,5.0,1.0,0.0,-3.1331805062955564,-2.69
135267090.0,Male,51.0,4,White,University,1.0,2.0,1.0,99.0,99.0
135267170.0,Female,29.0,2,White,GCSE,3.0,2.0,0.0,0.1562962365346741,-2.02
135267290.0,Male,48.0,4,White,University,1.0,4.0,0.0,0.1562962365346741,0.71
135272210.0,Female,63.0,5,Asian or Asian British,Other,5.0,2.0,0.0,1.2832466021339195,99.0
135274130.0,Female,96.0,7,White,99,1.0,3.0,0.0,99.0,99.0
135277050.0,Male,24.0,1,White,GCSE,5.0,1.0,1.0,0.1461435305382845,-0.5
135280210.0,Female,20.0,1,Asian or Asian British,ALevel,5.0,1.0,0.0,0.3593503564624661,-2.43
135281010.0,Female,31.0,2,White,GCSE,4.0,1.0,1.0,1.0903451882025177,-1.93
135281050.0,Female,36.0,3,White,University,5.0,2.0,0.0,-0.0366051773967282,0.73
135282130.0,Female,51.0,4,White,GCSE,3.0,3.0,0.0,0.1562962365346741,-0.24
135282290.0,Female,46.0,4,White,University,2.0,5.0,1.0,0.1562962365346741,-0.01
135284050.0,Female,38.0,3,White,GCSE,1.0,3.0,0.0,0.1562962365346741,1.22
135284090.0,Female,47.0,4,99,99,1.0,5.0,0.0,-0.4021025932667538,0.97
135284290.0,Female,26.0,2,White,ALevel,1.0,1.0,0.0,1.7807291959570102,-1.49
135287050.0,Female,18.0,1,White,ALevel,1.0,2.0,0.0,0.1156854125491157,-0.97
135290090.0,Male,19.0,1,White,ALevel,8.0,2.0,0.0,0.5624044763902581,-0.47
135290170.0,Female,66.0,6,White,ALevel,1.0,5.0,0.0,0.3593503564624661,-0.78
135290210.0,Female,69.0,6,White,99,5.0,5.0,0.0,1.2832466021339195,1.22
135292050.0,Male,53.0,4,White,University,3.0,5.0,0.0,0.3593503564624661,-1.01
135292090.0,Male,48.0,4,White,Other,5.0,3.0,0.0,-1.0518757770356884,-1.54
135293050.0,Male,21.0,1,White,ALevel,4.0,4.0,0.0,0.3593503564624661,1.22
135296210.0,Male,20.0,1,Asian or Asian British,ALevel,7.0,4.0,0.0,-0.7676000091367796,-0.42
135297250.0,Male,41.0,3,White,ALevel,1.0,4.0,0.0,0.3593503564624661,0.75
135298130.0,Female,21.0,1,White,GCSE,5.0,1.0,0.0,-0.7371418911476108,-0.69
135298170.0,Male,51.0,4,White,GCSE,4.0,2.0,0.0,-2.0366882586854795,0.19
135300170.0,Female,71.0,6,White,99,1.0,4.0,0.0,-1.2549298969634803,0.52
135302010.0,Male,39.0,3,White,University,3.0,3.0,0.0,-0.0975214133750658,1.22
135303050.0,Male,66.0,6,White,99,4.0,4.0,0.0,-2.0062301406963106,1.22
135303170.0,Female,64.0,5,White,GCSE,3.0,4.0,1.0,-1.2549298969634803,1.22
135303210.0,Male,37.0,3,White,ALevel,3.0,1.0,0.0,0.3796557684552454,0.28
135304010.0,Female,21.0,1,White,GCSE,1.0,1.0,0.0,-0.3411863572884163,-0.49
135306130.0,Female,53.0,4,Asian or Asian British,GCSE,8.0,3.0,0.0,99.0,0.54
135306210.0,Male,42.0,3,White,University,2.0,5.0,0.0,-0.3107282392992475,0.73
135306290.0,Male,56.0,5,White,99,3.0,5.0,0.0,0.3593503564624661,0.5
135307050.0,Female,56.0,5,White,GCSE,4.0,2.0,1.0,-1.2244717789743116,-0.88
135307210.0,Male,23.0,1,Asian or Asian British,University,8.0,1.0,1.0,99.0,-3.8
135309210.0,Female,40.0,3,White,Other,5.0,4.0,0.0,0.3695030624588558,1.22
135311050.0,Male,42.0,3,White,GCSE,1.0,1.0,0.0,-0.5543931832125979,-0.53
135313010.0,Female,41.0,3,White,99,4.0,4.0,0.0,-1.4579840168912723,0.52
135319210.0,Male,33.0,2,White,99,2.0,4.0,0.0,0.8162221262999981,1.0
135321250.0,Female,21.0,1,White,University,3.0,4.0,0.0,-1.9656193167107523,-0.02
135331010.0,Female,53.0,4,White,University,3.0,2.0,0.0,-1.01126495305013,-1.11
135332170.0,Female,30.0,2,White,99,5.0,4.0,0.0,0.3593503564624661,-0.01
135335130.0,Male,44.0,3,White,GCSE,1.0,4.0,0.0,0.3593503564624661,1.22
135337210.0,Female,66.0,6,White,GCSE,1.0,99.0,0.0,1.5776750760292182,0.94
135339250.0,Female,28.0,2,White,University,5.0,1.0,1.0,-0.5543931832125979,-2.49
135341170.0,Male,75.0,7,White,Other,5.0,99.0,1.0,1.1715668361736342,0.29
135342170.0,Female,30.0,2,White,GCSE,3.0,99.0,0.0,-1.0518757770356884,1.0
135343090.0,Female,76.0,7,White,99,5.0,99.0,0.0,0.3593503564624661,1.22
135343330.0,Female,19.0,1,White,99,5.0,99.0,0.0,-2.8793628563858165,0.43
135344130.0,Male,31.0,2,White,ALevel,5.0,99.0,0.0,-0.5950040071981564,-0.97
135345050.0,Female,53.0,4,White,Other,4.0,99.0,1.0,-0.4528661232487018,-2.24
135345330.0,Female,32.0,2,White,ALevel,3.0,99.0,1.0,-1.3259988389382076,-1.9
135349210.0,Male,79.0,7,White,99,5.0,3.0,0.0,0.3593503564624661,1.22
135349250.0,Male,31.0,2,White,University,1.0,3.0,0.0,1.5776750760292182,-0.21
135349370.0,Male,65.0,6,White,ALevel,2.0,3.0,0.0,0.6740842423505438,0.74
135351010.0,Female,54.0,4,White,99,5.0,1.0,0.0,-0.5340877712198188,-1.56
135354010.0,Male,43.0,3,Black or Black British,University,5.0,1.0,1.0,1.0395816582205692,-1.55
135354290.0,Female,33.0,2,White,University,2.0,2.0,0.0,0.3593503564624661,-1.01
135354330.0,Male,47.0,4,Asian or Asian British,GCSE,4.0,2.0,1.0,0.3593503564624661,-0.23
135355130.0,Female,30.0,2,White,University,2.0,1.0,0.0,0.3695030624588558,-1.08
135356090.0,Female,48.0,4,White,University,1.0,3.0,0.0,-1.315846132941818,0.28
135357010.0,Female,67.0,6,White,ALevel,1.0,2.0,0.0,0.1562962365346741,0.46
135357290.0,Male,42.0,3,White,ALevel,1.0,4.0,0.0,0.3593503564624661,0.75
135360130.0,Female,17.0,1,White,ALevel,7.0,3.0,1.0,-0.1381322373606242,-1.89
135362090.0,Female,50.0,4,White,GCSE,1.0,5.0,1.0,1.0700397762097382,-0.45
135365170.0,Female,42.0,3,Black or Black British,Other,6.0,2.0,1.0,0.1156854125491157,-1.41
135366290.0,Male,34.0,2,White,University,1.0,5.0,0.0,1.0700397762097382,-0.06
135366330.0,Female,34.0,2,White,University,1.0,5.0,0.0,0.1156854125491157,1.22
135367090.0,Female,17.0,1,White,GCSE,5.0,4.0,1.0,0.3593503564624661,0.21
135367130.0,Male,35.0,3,White,University,1.0,5.0,0.0,0.3491976504660765,-0.01
135369050.0,Female,37.0,3,White,GCSE,1.0,3.0,0.0,-0.0975214133750658,-0.26
135369090.0,Female,33.0,2,White,ALevel,4.0,2.0,0.0,0.613168006372206,-0.78
135369290.0,Female,39.0,3,White,GCSE,2.0,1.0,1.0,-1.0518757770356884,-2.49
135370130.0,Male,27.0,2,White,GCSE,6.0,3.0,0.0,-1.315846132941818,-1.45
135371250.0,Male,44.0,3,White,University,1.0,2.0,0.0,0.1461435305382845,0.02
135373050.0,Female,54.0,4,Chinese or other,99,6.0,3.0,0.0,-1.437678604898493,1.0
135375010.0,Female,99.0,2,White,University,1.0,2.0,0.0,0.3593503564624661,-0.69
135375130.0,Male,99.0,2,White,ALevel,2.0,1.0,0.0,-1.386915074916545,-0.74
135376010.0,Male,52.0,4,Asian or Asian British,99,5.0,2.0,0.0,0.3593503564624661,99.0
135376130.0,Female,36.0,3,Black or Black British,99,1.0,2.0,0.0,1.0395816582205692,0.43
135377090.0,Male,26.0,2,White,University,2.0,2.0,0.0,-1.0518757770356884,-0.52
135378090.0,Male,52.0,4,White,ALevel,5.0,2.0,0.0,0.3593503564624661,-0.51
135378290.0,Male,35.0,3,White,99,6.0,2.0,0.0,0.7756113023144396,-0.76
135379130.0,Male,69.0,6,White,99,5.0,1.0,0.0,0.1562962365346741,1.0
135380010.0,Male,32.0,2,White,University,1.0,2.0,1.0,0.613168006372206,-1.43
135380090.0,Male,23.0,1,White,ALevel,1.0,1.0,1.0,-1.062028483032078,-0.92
135380210.0,Female,43.0,3,Black or Black British,University,2.0,1.0,0.0,0.3593503564624661,-1.44
135380250.0,Male,37.0,3,White,University,1.0,3.0,0.0,-1.0417230710392988,0.02
135381250.0,Male,60.0,5,White,University,1.0,3.0,0.0,0.1461435305382845,0.5
135382130.0,Female,49.0,4,Black or Black British,Other,5.0,1.0,0.0,1.5370642520436597,-3.59
135382210.0,Male,57.0,5,White,University,1.0,2.0,1.0,0.1461435305382845,-0.48
135382250.0,Male,68.0,6,White,99,3.0,3.0,0.0,99.0,1.22
135382290.0,Male,44.0,3,White,University,1.0,3.0,0.0,1.0598870702133485,0.21
135383090.0,Male,62.0,5,White,99,3.0,3.0,0.0,-0.8183635391187275,-1.14
135383170.0,Male,31.0,2,White,University,1.0,2.0,1.0,-1.0518757770356884,-2.0
135383210.0,Male,75.0,7,White,99,5.0,1.0,0.0,-0.5442404772162083,-0.72
135386130.0,Female,66.0,6,Black or Black British,Other,2.0,2.0,0.0,0.3593503564624661,-0.72
135387090.0,Female,31.0,2,White,ALevel,1.0,4.0,1.0,-0.7980581271259483,-0.96
135392010.0,Male,26.0,2,White,ALevel,1.0,2.0,0.0,0.613168006372206,-0.0
135392050.0,Male,79.0,7,White,99,3.0,2.0,0.0,0.1562962365346741,0.55
135395170.0,Female,55.0,5,White,ALevel,5.0,2.0,1.0,1.5776750760292182,-0.24
135396290.0,Female,46.0,4,White,University,1.0,4.0,0.0,-0.2904228273064683,-0.44
135397090.0,Male,80.0,7,White,99,4.0,1.0,0.0,1.7807291959570102,1.0
135397170.0,Male,39.0,3,White,ALevel,1.0,1.0,0.0,-3.640815806115037,-0.42
135397250.0,Male,44.0,3,White,University,1.0,3.0,0.0,1.5675223700328285,0.44
135398010.0,Female,72.0,6,White,University,1.0,4.0,0.0,99.0,99.0
135398130.0,Female,79.0,7,White,University,1.0,5.0,0.0,0.288281414487739,0.71
135398290.0,Female,49.0,4,White,University,1.0,5.0,0.0,99.0,0.24
135398330.0,Female,62.0,5,White,GCSE,5.0,5.0,0.0,0.1562962365346741,-0.24
135402250.0,Female,44.0,3,White,University,1.0,4.0,1.0,0.8162221262999981,0.78
135403050.0,Male,28.0,2,White,ALevel,5.0,3.0,0.0,0.8365275382927774,0.97
135403170.0,Female,28.0,2,White,GCSE,5.0,3.0,0.0,-1.285388014952649,-1.41
135403210.0,Male,65.0,6,White,ALevel,5.0,4.0,1.0,-0.3107282392992475,-1.94
135405170.0,Male,21.0,1,White,99,2.0,3.0,1.0,-0.8082108331223379,1.22
135405290.0,Male,23.0,1,White,University,7.0,2.0,0.0,0.3593503564624661,0.47
